fdcId,description,foodCategory,brandOwner,brandName,packageWeight,publishedDate,Protein G,Total lipid (fat) G,"Carbohydrate, by difference G",Energy KCAL,Total Sugars G,"Fiber, total dietary G","Calcium, Ca MG","Iron, Fe MG","Sodium, Na MG","Vitamin C, total ascorbic acid MG",Cholesterol MG,"Fatty acids, total trans G","Fatty acids, total saturated G",Vitamin A UG,"Potassium, K MG",Vitamin D (D2 + D3) UG,"Sugars, added G"
2502834,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",CREAMLAND,ONE QUART/946 mL,3/16/2023,3.33,1.04,5.42,46,5,0,125,0,54,,4,0,0.62,,167,,
2113644,1% LOWFAT MILK,Milk,"Prairie Farms Dairy, Inc.",PRAIRIE FARMS,0.5 GAL/1.89 L,10/28/2021,3.33,1.04,4.58,42,4.58,0,125,0,50,0.5,6,0,0.62,,,,
2624787,1% LOWFAT MILK,Milk,Target Stores,GOOD & GATHER,0.5 GAL/1.89 L,8/31/2023,3.33,1.04,5.42,46,5,0,129,0,56,,6,0,0.62,62,175,2,0
2394074,1% LOWFAT MILK,Milk,"Cass Clay Creamery, Inc.",CASS-CLAY,1 GAL/3.78 L,12/22/2022,3.39,1.06,5.51,47,5.08,0,106,0,53,,4,0,0.64,,119,,
2506471,1% LOWFAT MILK,Milk,"Whole Foods Market, Inc.",365 WHOLE FOODS MARKET,1 GALLON/3.78 L,3/16/2023,3.33,1.04,,42,4.58,0,125,0,50,,,0,0.62,,175,,
2482445,1% LOWFAT MILK,Milk,"Safeway, Inc.",LUCERNE,32 fl oz/1 Quart/946 mL,2/16/2023,4.58,1.04,6.67,54,6.25,0,167,0,71,,6,0,0.62,,221,,
2426017,1% LOWFAT MILK,Milk,"Borden, Inc.",MEADOW GOLD,1 GAL/3.78 L,12/22/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,117,,
1932211,1% LOWFAT MILK,Milk,Franklin Foods,SUPER ONE FOODS,1 GAL/3.78 L,7/29/2021,3.39,1.06,5.51,47,5.08,0,127,0,57,1,4,0,0.64,,174,,
2157857,1% LOWFAT MILK,Milk,Nash Finch Company,OUR FAMILY,,10/28/2021,3.33,1.04,5.42,46,5,0,125,0,54,,4,0,0.62,,167,,
2486163,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",GARELICK FARMS,1/2 GAL/1.89 L,2/16/2023,3.33,1.04,5.42,46,5,,125,,54,,4,0,0.62,,167,,
2486417,1% LOWFAT MILK,Milk,"Upstate Niagara Cooperative, Inc.",GERRITY'S,0.5 GAL/1.89 L,2/16/2023,3.33,1.04,5,42,5,0,125,0,48,,4,0,0.62,,154,,
2552776,1% LOWFAT MILK,Milk,"Turner Holdings, LLC",MEADOWBROOK,1/2 GAL/1.89 L,5/25/2023,3.33,1.04,4.58,42,4.58,0,125,0.04,50,,6,0,0.62,,154,,
2631983,1% LOWFAT MILK,Milk,"Safeway, Inc.",LUCERNE,32 fl oz/1 Quart/946 mL,9/14/2023,3.75,1.04,5.42,46,5,0,104,0,58,,6,0,0.62,38,146,1,0
2631717,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",GARELICK FARMS,1 qt,9/14/2023,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,56,117,1,0
2159912,1% LOWFAT MILK,Milk,Kemps LLC,KEMPS,0.5 GAL/1.89 L,10/28/2021,3.39,1.06,5.51,47,5.08,0,127,0,57,1,4,0,0.64,,174,,
2487390,1% LOWFAT MILK,Milk,The Kroger Co.,KROGER,0.5/1.89 L,2/16/2023,4.17,1.04,5.83,50,5.42,0,150,0,46,,6,0,0.62,,204,,
2430479,1% LOWFAT MILK,Milk,Maola Milk & Ice Cream Co.,VELVET,1 GAL/3.78 L,12/22/2022,3.33,1.04,5,42,5,,104,,52,,4,,0.62,,117,,
2463741,1% LOWFAT MILK,Milk,"Prairie Farms Dairy, Inc.",LAND O LAKES,HALF GALLON/1.89 L,2/16/2023,3.33,1.04,4.58,42,4.58,0,125,0.04,50,,6,0,0.62,,154,,
2290062,1% LOWFAT MILK,Milk,The Kroger Co.,MOUNTAIN DAIRY,1 Quart/32 fl oz/946 mL,5/23/2022,3.33,1.04,5,42,4.58,0,125,0,50,1,4,0,0.62,,162,,
2464176,1% LOWFAT MILK,Milk,"Giant Eagle, Inc.",GIANT EAGLE,0.5 GAL/1.89 L,2/16/2023,3.33,1.04,5.42,46,5,0,125,0,54,,4,0,0.62,,167,,
2464814,1% LOWFAT MILK,Milk,"Supervalu, Inc.",ESSENTIAL EVERYDAY,ONE QUART/946 mL,2/16/2023,3.75,1.04,5.42,46,5,0,130,0,54,,6,0,0.62,,175,,
2638664,1% LOWFAT MILK,Milk,"Meijer, Inc.",PENNY SMART,1 GAL/3.78 L,9/14/2023,3.33,1.04,5,42,5,0,127,0,44,,4,0,0.62,69,152,1,0
1890883,1% LOWFAT MILK,Milk,Dean Foods Company,DAIRY PURE,0.5 GAL/1.89 L,7/29/2021,3.33,1.04,5.42,46,5,0,125,0,52,1,4,0,0.62,,171,,
2621456,1% LOWFAT MILK,Milk,"Meijer, Inc.",MEIJER,1/2 GAL/1.89 L,8/31/2023,3.33,1.04,5,42,5,0,127,0,44,,4,0,0.62,69,152,1,0
2621659,1% LOWFAT MILK,Milk,Akpharma Inc.,LACTAID,0.5 GAL/1.89 L,8/31/2023,3.33,1.04,5.42,46,5,0,208,0,54,0,6,0,0.62,38,171,2,
1959612,1% LOWFAT MILK,Milk,"Upstate Niagara Cooperative, Inc.",UPSTATE FARMS,0.5 GAL/1.89 L,7/29/2021,3.33,1.04,5,42,5,0,125,0,52,0,4,0,0.62,,,,
2265947,1% LOWFAT MILK,Milk,"DFA Dairy Brands, LLC",PRICE'S,1 GAL/3.78 L,5/23/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,117,,
2062192,1% LOWFAT MILK,Milk,The Kroger Co.,KING SOOPERS,0.5 GAL/1.89 L,10/28/2021,3.33,1.04,5,42,4.58,0,125,0,50,1,4,0,0.62,,162,,
2621975,1% LOWFAT MILK,Milk,HP Hood LLC,HOOD,0.5 GAL/1.89 L,8/31/2023,4.17,1.04,5.42,50,5,0,146,0,54,0,6,0,0.62,38,,2,
2063032,1% LOWFAT MILK,Milk,Umpqua Dairy Products Co.,UMPQUA DAIRY,0.5 GAL/1.89 L,10/28/2021,3.33,1.04,4.58,42,4.58,0,104,0,46,0.5,6,0,0.62,,,,
2501213,1% LOWFAT MILK,Milk,HP Hood LLC,HOOD,946 mL,3/16/2023,3.33,1.04,5.42,46,5,0,129,0.04,52,,6,0,0.62,,,,
2270099,1% LOWFAT MILK,Milk,Cooperative Regions of Organic Producer Pools,ORGANIC VALLEY,5 GAL/18.9 L,5/23/2022,4.58,1.04,5.83,50,5.83,0,125,0,67,,6,0,0.62,,146,,
2448225,1% LOWFAT MILK,Milk,"Whole Foods Market, Inc.",365 EVERYDAY VALUE,1 Quart/946 mL,1/26/2023,3.33,1.04,5,42,5,0,104,0,50,,4,0,0.62,,117,,
2446883,1% LOWFAT MILK,Milk,"Supervalu, Inc.",ESSENTIAL EVERYDAY,1 GAL/3.78 L,1/26/2023,3.33,1.04,4.58,42,4.58,0,83,0,50,,6,0,0.62,,117,,
2501154,1% LOWFAT MILK,Milk,HP Hood LLC,HOOD,HALF GAL/1.89 L,3/16/2023,3.33,1.04,5.42,46,5,0,129,0.04,52,,6,0,0.62,,171,,
2278687,1% LOWFAT MILK,Milk,"Fareway Stores, Inc.",FAREWAY,ONE GAL/3.78 L,5/23/2022,3.33,1.04,5.42,46,5,0,104,0,54,,4,0,0.62,,,,
2425151,1% LOWFAT MILK,Milk,"Whole Foods Market, Inc.",365 WHOLE FOODS MARKET,1 gallon/3.78 l,12/22/2022,3.33,1.04,5,42,5,0,104,0,44,,4,0,0.62,,117,,
2103807,1% LOWFAT MILK CHOCOLATE,Milk,Maola Milk & Ice Cream Co.,MARVA MAID,14 fl oz/414 mL,10/28/2021,3.62,0.85,13.5,82,12.6,0,121,0,92,0.6,5,0,0.6,,,,
1906604,"1% LOWFAT MILK, CHOCOLATE",Milk,"Winco Foods, Inc.",WINCO FOODS,0.5 GAL/1.89 L,7/29/2021,3.75,1.04,12.1,71,11.2,0.4,125,0.3,100,1,4,0,0.62,,,,
1910795,"1% LOWFAT MILK, CHOCOLATE",Milk,McIlhenny Company,SPARTAN,0.5 GAL/1.89 L,7/29/2021,3.33,1.04,10,62,9.17,0,125,0.15,83,0.5,6,0,0.62,,,,
1890422,"1% LOWFAT MILK, CHOCOLATE",Milk,The Kroger Co.,MOUNTAIN DAIRY,1 GAL/3.78 L,7/29/2021,4.58,1.04,14.6,83,14.2,0,167,0.15,100,,6,0,0.62,,221,,
1908384,"1% LOWFAT MILK, CHOCOLATE",Milk,Dean Foods Company,TRUMOO,1 PT/473 mL,7/29/2021,3.33,1.04,8.33,58,7.5,0,104,0,75,,6,0,0.62,,117,,2.9
1908975,"1% LOWFAT MILK, CHOCOLATE",Milk,"Prairie Farms Dairy, Inc.",PRAIRIE FARMS,16 fl oz/1 PT/473 mL,7/29/2021,3.33,1.04,11.7,71,11.7,0,125,0,79,0.5,4,0,0.83,,,,
1872332,"1% LOWFAT MILK, CHOCOLATE",Milk,The Kroger Co.,KROGER,1 GAL/3.78 L,7/29/2021,3.33,1.25,13.3,75,12.5,0.4,125,0.15,83,0,6,0,0.83,,179,,
1906603,"1% LOWFAT MILK, CHOCOLATE",Milk,"Winco Foods, Inc.",WINCO FOODS,1 GAL/3.78 L,7/29/2021,3.75,1.04,12.1,71,11.2,0.4,125,0.3,100,1,4,0,0.62,,,,
1890420,"1% LOWFAT MILK, CHOCOLATE",Milk,The Kroger Co.,KROGER,1 PT/16 fl oz/473 mL,7/29/2021,3.75,1.04,13.8,75,12.5,0.4,146,0,79,0,4,0,0.62,,196,,
1920299,"1% LOWFAT MILK, CHOCOLATE ",Milk,"Safeway, Inc.",LUCERNE DAIRY FARMS,1 Quart/946 mL,7/29/2021,4.17,1.04,14.2,83,13.3,0,146,0,100,0,6,0,0.62,,192,,
1872485,"1% LOWFAT MILK, CHOCOLATE MARSHMALLOW",Milk,Dean Foods Company,TRUMOO,0.5 GAL/1.89 L,7/29/2021,3.33,1.04,8.33,58,7.5,0,125,0,75,0.5,6,0,0.62,,175,,
2679910,"1% LOWFAT MILK, STRAWBERRY",Milk,"Prairie Farms Dairy, Inc.",PRAIRIE FARMS,16 fl oz/1 PT/473 mL,11/16/2023,3.33,1.04,11.7,67,11.7,0,125,0,50,0.5,6,0,0.83,38,,2,
2634147,"1% LOWFAT MILK, STRAWBERRY",Milk,"Prairie Farms Dairy, Inc.",PRAIRIE FARMS,0.5 GAL/1.89 L,9/14/2023,3.33,1.04,11.7,67,11.7,0,125,0,50,0.5,6,0,0.83,38,,2,
2092660,1% LOWFAT MMMMILK,Milk,Shamrock Foods Company,SHAMROCK FARMS,1 GAL/3.78 L,10/28/2021,3.33,1.04,5,42,5,0,125,0,52,1,4,0,0.62,,167,,
2460287,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"DFA Dairy Brands, LLC",REITER DAIRY,24 oz/680 g,2/16/2023,10.6,1.33,5.31,80,3.54,0,88,0,416,,9,0,0.88,,168,,
2621525,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Meijer, Inc.",MEIJER,24 oz/680 g,8/31/2023,11.5,0.88,6.19,80,5.31,0,113,0,416,,4,0,0.44,177,196,2,0
2623133,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Saputo Dairy Foods USA, LLC",FRIENDSHIP DAIRIES,16 oz/1 lbs/453 g,8/31/2023,14.2,1.33,3.54,80,2.65,0,89,0,301,,9,0,0.88,54,128,0,0
2503404,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"DFA Dairy Brands, LLC",COUNTRY FRESH,24 oz/680 g,3/16/2023,10.6,1.33,5.31,80,3.54,0,88,0,416,,9,0,0.88,,168,,
2472464,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,Harris-Teeter Inc.,HARRIS TEETER,24 oz/680 g,2/16/2023,11.5,0.88,4.42,80,3.54,0.9,93,0,425,,9,0,0.44,,159,,
2112855,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Hy-Vee, Inc.",HY-VEE,,10/28/2021,10.6,1.33,5.31,80,3.54,0,88,0,389,,9,,0.88,,,,
2480134,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Safeway, Inc.",LUCERNE,16 oz/1 lbs/453 g,2/16/2023,14.2,1.33,3.54,,3.54,0,97,0,40,,9,0,0.88,,124,,
2552858,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,Harris-Teeter Inc.,HARIS TEETER,16 OZ/1 LB/453 g,5/25/2023,10.6,0.88,5.31,71,3.54,0,71,0,354,,9,0,0.88,,124,,
2553017,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Mayfield Dairy Farms, Inc.",MAYFIELD DAIRY FARMS,16 oz/1 lbs/453 g,5/25/2023,10.6,1.33,5.31,80,3.54,0,71,0,416,,9,0,0.88,,124,,
2617701,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Safeway, Inc.",LUCERNE,24 oz/680 g,8/31/2023,10.6,1.33,6.19,80,4.42,0,106,0,407,,9,0,0.88,33,173,0,0
2112856,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Hy-Vee, Inc.",HY-VEE,,10/28/2021,10.6,1.33,5.31,80,3.54,0,71,0,389,,9,0,0.88,,,,
2505025,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Wal-Mart Stores, Inc.",GREAT VALUE,48 oz/3 lbs/1.36 kg,3/16/2023,10.6,0.88,5.31,71,3.54,0,91,0,354,,9,0,0.88,,150,,
2505361,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Wal-Mart Stores, Inc.",GREAT VALUE,16 oz/1 lbs/453 g,3/16/2023,11.5,0.88,5.31,80,4.42,0,80,0.18,407,,13,0,0.44,,142,,
2478604,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Wegmans Food Markets, Inc. ",WEGMANS,48 oz/3 lbs/1.36 kg,2/16/2023,10.6,0.88,4.42,71,3.54,0,97,0,354,,9,0,0.44,,142,,
2482265,1% LOWFAT SMALL CURD COTTAGE CHEESE,Cheese,"Safeway, Inc.",LUCERNE,32 oz/2 lbs/907 g,2/16/2023,10.6,1.33,6.19,80,4.42,0,106,0,407,,9,0,0.88,,177,,
